segment_key_#, file_name, low_angle_bound, high_angle_bound, aframe, low_energy_bound, high_energy_bound, eframe, norm, shift
1,data/Abramovich-A0244002.dat,0.0000e+00,1.8000e+02,Lab,0.0000e+00,7.0000e+00,Lab,9.9871e-01,0
2,data/Elwyn-F0012002.dat,0.0000e+00,1.8000e+02,CM,1.0000e-01,1.0000e+00,CM,9.6176e-01,0
3,data/Elwyn-F0012003.dat,0.0000e+00,1.8000e+02,CM,9.0000e-01,3.0000e+00,CM,1.1039e+00,0
4,data/Elwyn-F0012005.dat,0.0000e+00,1.8000e+02,Lab,0.0000e+00,1.0000e+01,Lab,9.8580e-01,0
5,data/Fasoli-D0135002.dat,0.0000e+00,1.8000e+02,CM,0.0000e+00,2.0000e+01,CM,9.8167e-01,0
6,data/Harrison-C1003002.dat,0.0000e+00,1.8000e+02,CM,2.0000e+00,1.0000e+01,CM,1.1223e+00,0
7,data/Ivanovich-A1014010.dat,0.0000e+00,1.8000e+02,CM,0.0000e+00,1.0000e+01,CM,1.0409e+00,0
8,data/Mccray-A1410002.dat,0.0000e+00,1.8000e+02,CM,4.0000e-01,3.0000e+00,CM,1.1223e+00,0
9,data/Mccray-A1410003.dat,0.0000e+00,1.8000e+02,CM,4.0000e-01,3.0000e+00,CM,1.2194e+00,0
10,data/Paneru.dat,0.0000e+00,1.8000e+02,Lab,6.0000e-01,6.0000e+00,Lab,9.9233e-01,0
11,data/Schenk-F0049002.dat,0.0000e+00,1.8000e+02,CM,2.0000e+00,7.0000e+00,CM,8.1282e-01,0
12,data/Spiger-A1094004.dat,0.0000e+00,1.8000e+02,CM,0.0000e+00,1.3000e+01,CM,8.8222e-01,0
13,data/Spiger-A1094007.dat,0.0000e+00,1.8000e+02,Lab,7.0000e+00,1.4000e+01,Lab,9.8639e-01,0
14,data/Tumino-O1221002.dat,0.0000e+00,1.8000e+02,Lab,0.0000e+00,1.0000e+01,Lab,1.0050e+00,0
